epoch,accuracy,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy,learning_rate
1,0.5247530937194824,0.8181827068328857,0.9586362242698669,0.48030155897140503,0.9892346262931824,0.991305947303772,0.0010000000474974513
2,0.6466426849365234,0.6025403738021851,0.9868808388710022,0.5470573902130127,0.9033556580543518,0.9925826787948608,0.0010000000474974513
3,0.7099064588546753,0.5297766923904419,0.9893561601638794,0.6218385100364685,0.8108111023902893,0.994163453578949,0.0010000000474974513
4,0.7413429021835327,0.47784265875816345,0.9917532801628113,0.6419017314910889,0.8099823594093323,0.9956833720207214,0.0010000000474974513
5,0.7663956880569458,0.44549933075904846,0.9925610423088074,0.6676799654960632,0.7453144192695618,0.9946498274803162,0.0010000000474974513
6,0.7830063104629517,0.4251303970813751,0.9934860467910767,0.7207563519477844,0.6634255647659302,0.9945282340049744,0.0010000000474974513
7,0.8049063086509705,0.39277583360671997,0.9939159154891968,0.7977261543273926,0.5387333631515503,0.9954401850700378,0.0010000000474974513
8,0.8155501484870911,0.37526464462280273,0.9942416548728943,0.7236745953559875,0.648381233215332,0.9945282340049744,0.0010000000474974513
9,0.8250996470451355,0.3656631410121918,0.9947497248649597,0.8124392032623291,0.5208483934402466,0.9951362013816833,0.0010000000474974513
10,0.8304411172866821,0.34060952067375183,0.9952577948570251,0.8331711888313293,0.477338969707489,0.9956225752830505,0.0010000000474974513
11,0.8413845896720886,0.33277782797813416,0.9951796531677246,0.813715934753418,0.5230774879455566,0.9955617785453796,0.0010000000474974513
12,0.8425310850143433,0.3200097382068634,0.9954401850700378,0.8415612578392029,0.4483489692211151,0.9967777132987976,0.0010000000474974513
13,0.8440293073654175,0.3222607970237732,0.9950754046440125,0.8646643757820129,0.4107019603252411,0.9961089491844177,0.0010000000474974513
14,0.8532400727272034,0.3159945607185364,0.995270848274231,0.8816877603530884,0.37376701831817627,0.9966561198234558,0.0010000000474974513
15,0.8522629737854004,0.2999820411205292,0.9955704808235168,0.817728579044342,0.5055193901062012,0.994163453578949,0.0010000000474974513
16,0.8554548025131226,0.297271728515625,0.9955835342407227,0.8210724592208862,0.49380072951316833,0.9951969981193542,0.0010000000474974513
17,0.8579431176185608,0.3007158935070038,0.9959092140197754,0.860590934753418,0.42811375856399536,0.9964737296104431,0.0010000000474974513
18,0.8643528819084167,0.2873218357563019,0.9958831667900085,0.9028453230857849,0.3009844720363617,0.9972032904624939,0.0010000000474974513
19,0.8660986423492432,0.2865392565727234,0.9960134625434875,0.8568214774131775,0.4029043912887573,0.9956833720207214,0.0010000000474974513
20,0.8644962310791016,0.28879502415657043,0.995531439781189,0.8667315244674683,0.3990935981273651,0.9955617785453796,0.0010000000474974513
21,0.8681570887565613,0.26691970229148865,0.9965345859527588,0.878465473651886,0.3655950427055359,0.9963521361351013,0.0010000000474974513
22,0.8690950870513916,0.27028101682662964,0.9966908693313599,0.9033316969871521,0.2953256666660309,0.9972032904624939,0.0010000000474974513
23,0.8716094493865967,0.260336697101593,0.9965606331825256,0.8855788111686707,0.34259000420570374,0.9962305426597595,0.0010000000474974513
24,0.8698767423629761,0.26676633954048157,0.9964954853057861,0.9115393757820129,0.2736930847167969,0.997750461101532,0.0010000000474974513
25,0.8729643821716309,0.26007315516471863,0.9969384074211121,0.9050948619842529,0.297110378742218,0.996534526348114,0.0010000000474974513
26,0.8771984577178955,0.2632531523704529,0.9963521957397461,0.8449051380157471,0.4369918406009674,0.9969601035118103,0.0010000000474974513
27,0.8741369247436523,0.2600524425506592,0.9968081712722778,0.9026629328727722,0.31103000044822693,0.9968385100364685,0.0010000000474974513
28,0.8760520219802856,0.25088804960250854,0.9967299699783325,0.9058852195739746,0.2968853712081909,0.9968993067741394,0.0010000000474974513
29,0.880598783493042,0.2382994443178177,0.9966778755187988,0.9172543883323669,0.2585867643356323,0.9973248839378357,0.0005000000237487257
30,0.8839730024337769,0.23927687108516693,0.9970035552978516,0.9095938801765442,0.27084410190582275,0.9972032904624939,0.0005000000237487257
31,0.8883373737335205,0.23201017081737518,0.9971078038215637,0.9278331995010376,0.23455658555030823,0.9976288676261902,0.0005000000237487257
32,0.8871257901191711,0.23335719108581543,0.9969905614852905,0.9279547929763794,0.23401665687561035,0.9978112578392029,0.0005000000237487257
33,0.8839078545570374,0.23492546379566193,0.9973031878471375,0.9179231524467468,0.2534874975681305,0.9979328513145447,0.0005000000237487257
34,0.887998640537262,0.2277463674545288,0.9971078038215637,0.9240029454231262,0.2451276332139969,0.9979936480522156,0.0005000000237487257
35,0.8877902030944824,0.22867664694786072,0.9969905614852905,0.9298394918441772,0.22695885598659515,0.9979936480522156,0.0005000000237487257
36,0.8875947594642639,0.23538802564144135,0.9971729516983032,0.919017493724823,0.25920769572257996,0.9974464774131775,0.0005000000237487257
37,0.888128936290741,0.2264571338891983,0.9970687031745911,0.9277724027633667,0.23601233959197998,0.9980545043945312,0.0005000000237487257
38,0.890226423740387,0.22686973214149475,0.99705570936203,0.9321498274803162,0.21820923686027527,0.9975680708885193,0.0005000000237487257
39,0.8905391097068787,0.23651310801506042,0.9973162412643433,0.9150048494338989,0.2569994330406189,0.9982976913452148,0.0005000000237487257
40,0.8960369229316711,0.2173285037279129,0.9972250461578369,0.9308730363845825,0.21860475838184357,0.9983584880828857,0.0005000000237487257
